Date,Time,Type,Session,Title,Author(s),Abstract
26-02-2014,9.00 _ 10.30,Paper,Log analysis,Scalable k-Means,"Andrei Broder, Lluis Garcia-Pueyo, Vanja Josifovski, Sergei Vassilvitskii, Srihari Venkatesan","The k-means clustering algorithm has a long history and a proven practical performance, however it does not scale to clustering millions of data points into thousands of clusters in high dimensional spaces. The main computational bottle-neck is the need to recompute the nearest centroid for every data point at every iteration, a prohibitive cost when the number of clusters is large. In this paper we show how to reduce the cost of the k-means algorithm by large factors by adapting ranked retrieval techniques. Using a combination of heuristics, on two real life data sets the wall clock time per iteration is reduced from 445 minutes to less than 4, and from 705 minutes to 1.4, while the clustering quality remains within 0.5% of the k-means quality. The key insight is to invert the process of point-to-centroid assignment by creating an inverted index over all the points and then using the current centroids as queries to this index to decide on cluster membership. In other words, rather than each iteration consisting of ñpoints picking centroidsî, each iteration now consists of ñcentroids picking pointsî. This is much more efficient, but comes at the cost of leaving some points unassigned to any centroid. We show experimentally that the number of such points is low and thus they can be separately assigned once the final centroids are decided. To speed up the computation we sparsify the centroids by pruning low weight features. Finally, to further reduce the running time and the number of unassigned points, we propose a variant of the WAND algorithm that uses the results of the intermediate results of nearest neighbor computations to improve performance."
26-02-2014,11.00 _ 12.30,Practice and Experience Talk,Recommender systems,Challenges and New Directions in Recommendation Systems,Guy Lebanon,"The construction of modern recommendation systems in industry owes a large debt to the discoveries of the academic community. However, the field of recommendation systems in industry is currently facing new challenges, which are not adequately addressed by the major research efforts in the academic community. I will survey the growing gap between academic and industry efforts in recommendation systems, consider several major challenges, and explore several new directions in this space."
26-02-2014,11.00 _ 12.30,Paper,Recommender systems,Taxonomy Discovery for Personalized Recommendation,"Yuchen Zhang, Amr Ahmed, Vanja Josifovski, Alexander Smola","Personalized recommender systems based on latent factor models are widely used to increase sales in e-commerce. Such
systems use the past behavior of users to recommend new items that are likely to be of interest to them. However,
latent factor model suffer from sparse user-item interaction in online shopping data: for a large portion of items that
do not have sufficient purchase records, their latent factors cannot be estimated accurately.
In this paper, we propose a novel approach that automatically discovers the taxonomies from online shopping data
and jointly learns a taxonomy-based recommendation system. Out model is non-parametric and can learn the taxonomy structure automatically from the data. Since the
taxonomy allows purchase data to be shared between items, it effectively improves the accuracy of recommending tail
items by sharing strength with the more frequent items. Experiments on a large-scale online shopping dataset confirm
that our proposed model improves significantly over state-of-the-art latent factor models. Moreover, our model generates
high-quality and human readable taxonomies. Finally, using the algorithm-generated taxonomy, our model even outperforms latent factor models based on the human-induced
taxonomy, thus alleviating the need for costly manual taxonomy generation."
26-02-2014,11.00 _ 12.30,Paper,Recommender systems,Who likes it more? Mining Worth-Recommending Items from Long Tails by Modeling Relative Preference,"Yu-Chieh Ho, Yi-Ting Chiang, Jane Yung-Jen Hsu","Recommender systems are useful tools that help people to filter and explore massive information. While the accuracy of recommender systems is important, many recent research indicated that focusing merely on accuracy not only is insufficient to meet user needs, but also may be harmful. Other characteristics such as novelty, unexpectedness and diversity should also be taken into consideration. Previous work has shown that more the sales of long-tail items could be more beneficial to both customers and some business models. However, the majority of collaborative filtering approaches tends to recommend popular selling items. In this work, we focus on long-tail item promotion and aggregate diversity enhancement, and propose a novel approach which diversifies the results of recommender systems by considering ñrecommendationsî as resources to be allocated to the items. Our approach increases the quantity and quality of long-tail item recommendations by adding more variation into the recommendation and maintains a certain level of accuracy simultaneously. The experimental results show that this approach can discover more worth-recommending items from Long Tails and improves user experience."
26-02-2014,11.00 _ 12.30,Paper,Recommender systems,On Building Entity Recommender Systems Using User Click Log and Freebase Knowledge,"Xiao Yu, Hao Ma, Bo-June (Paul) Hsu, Jiawei Han","Due to their commercial value, search engines and recommender systems have become two popular research topics in both industry and academia over the past decade. Although these two fields have been actively and extensively studied separately, researchers are beginning to realize the importance of the scenarios at their intersection: providing an integrated search and information discovery user experience. In this paper, we study a novel application, i.e., personalized entity recommendation for search engine users, by utilizing user click log and the knowledge extracted fromFreebase. To better bridge the gap between search engines and recommender systems, we first discuss important heuristics and features of the datasets. We then propose a generic, robust, and time-aware personalized recommendation framework to utilize these heuristics and features at different granularity levels. Using movie recommendation as a case study, with user click log dataset collected from a widely used commercial search engine, we demonstrate the effectiveness of our proposed framework over other popular and state-of-the-art recommendation techniques."
26-02-2014,14.00 _ 15.30,Practice and Experience Talk,Recommender systems and networks,Love: Recommended,Vaclav Petricek,"Humans have a mixed record in choosing romantic partners. Are looks or brains more important for a happy marriage? Matchmaking is an age-old concept that has been revolutionized with the advent of Internet. Suddenly the pool of potential partners that one can plausibly consider has exploded and thanks to the move of courtship online we are now able to collect and analyze unprecedented amounts of data on romantic interactions. If you are looking for love you may want to take advantage of this accumulated knowledge to give yourself a leg up. However making causal inferences aka ñDating adviceî can be problematic due to various sample biases. I will instead show how we leverage this rich data, hadoop, vowpal wabbit, GBMs, graph optimization, and contextual bandit techniques to build a matchmaking system that improves your chances of a happy marriage. I will focus specifically on how we approach solving these three problems: Compatibility: matching for the long term based on psychological traits; Affinity: modeling immediate attraction; Distribution: who to introduce to who and when Did you know that _ according to a recent PNAS study _ eHarmony couples are happier and less likely to break up or divorce than couples that met offline or through all other dating sites combined?"
26-02-2014,14.00 _ 15.30,Paper,Recommender systems and networks,Improving Pairwise Learning for Item Recommendation from Implicit Feedback,"Steffen Rendle, Christoph Freudenthaler","Pairwise algorithms are popular for learning recommender systems from implicit feedback. For each user, or more generally context, they try to discriminate between a small set of selected items and the large set of remaining (irrelevant) items. Learning is typically based on stochastic gradient descent (SGD) with uniformly drawn pairs. In this work, we show that convergence of such SGD learning algorithms slows down considerably if the item popularity has a tailed distribution. We propose a non-uniform item sampler to overcome this problem. The proposed sampler is context-dependent and oversamples informative pairs to speed up convergence. An efficient implementation with constant amortized runtime costs is developed. Furthermore, it is shown how the proposed learning algorithm can be applied to a large class of recommender models. The properties of the new learning algorithm are studied empirically on two real-world recommender system problems. The experiments indicate that the proposed adaptive sampler improves the state-of-the art learning algorithm largely in convergence without negative effects on prediction quality or iteration runtime."
26-02-2014,14.00 _ 15.30,Paper,Recommender systems and networks,Personalized Entity Recommendation in Heterogeneous Information Networks with Implicit User Feedback,"Xiao Yu, Xiang Ren, Yizhou Sun, Quanquan Gu,Bradley Sturt, Urvashi Khandelwal, Brandon Norick, Jiawei Han","Among different hybrid recommendation techniques, network-based entity recommendation methods, which utilize user or item relationship information, are beginning to attract increasing attention recently. Most of the previous studies in this category only consider a single relationship type, such as friendships in a social network. In many scenarios, the entity recommendation problem exists in a heterogeneous information network environment. Different types of relationships can be potentially used to improve the recommendation quality. In this paper, we study the entity recommendation problem in heterogeneous information networks. Specifically, we propose to combine heterogeneous relationship information for each user differently and aim to provide high-quality personalized recommendation results using user implicit feedback data and personalized recommendation models. In order to take full advantage of the relationship heterogeneity in information networks, we first introduce meta-path-based latent features to represent the connectivity between users and items along different types of paths. We then define recommendation models at both global and personalized levels and use Bayesian ranking optimization techniques to estimate the proposed models. Empirical studies show that our approaches outperform several widely employed or the state-of-the-art entity recommendation techniques."
26-02-2014,14.00 _ 15.30,Paper,Recommender systems and networks,Social Collaborative Retrieval,"Ko-Jen Hsiao, Alex Kulesza, Alfred O. Hero III","Socially-based recommendation systems have recently attracted significant interest, and a number of studies have shown that social information can dramatically improve a system's predictions of user interests. Meanwhile, there are now many potential applications that involve aspects of both recommendation and information retrieval, and the task of collaborative retrieval, a combination of these two traditional problems, has recently been introduced. Successful collaborative retrieval requires overcoming severe data sparsity, making additional sources of information, such as social graphs, particularly valuable. In this paper we propose a new model for collaborative retrieval, and show that our algorithm outperforms current state-of-the-art approaches by incorporating information from social networks. We also provide empirical analyses of the ways in which cultural interests propagate along a social graph using a real-world music dataset."
26-02-2014,14.00 _ 15.30,Paper,Recommender systems and networks,Transferring Heterogeneous Links across Location-Based Social Networks,"Jiawei Zhang, Xiangnan Kong, Philip S. Yu","Location-based social networks (LBSNs) are one kind of online social networks offering geographic services and have been attracting much attention in recent years. LBSNs usually have complex structures, involving heterogeneous nodes and links. Many recommendation services in LBSNs (e.g.,friend and location recommendation) can be cast as link prediction problems (e.g., social link and location link pre-diction). Traditional link prediction researches on LBSNs mostly focus on predicting either social links or location links, assuming the prediction tasks of different types of links to be independent. However, in many real-world LBSNs, the prediction tasks for social links and location links are strongly correlated and mutually influential. Another key challenge in link prediction on LBSNs is the data sparsity problem (i.e., ñnew networkî problem), which can be encountered when LBSNs branch into new geographic areas or social groups. Actually, nowadays, many users are involved in multiple networks simultaneously and users who just join one LBSN may have been using other LBSNs for a long time. In this paper, we study the problem of predicting multiple types of links simultaneously for a new LBSN across partially aligned LBSNs and propose a novel methodTRAIL (TRAnsfer heterogeneous lInks across LBSNs). TRAIL can accumulate information for locations from online posts and extract heterogeneous features for both social links and lo-cation links. TRAIL can predict multiple types of links simultaneously. In addition, TRAIL can transfer information from other aligned networks to the new network to solve the problem of lacking information. Extensive experiments conducted on two real-world aligned LBSNs show that TRAIL can achieve very good performance and substantially outperform the baseline methods."
26-02-2014,14.00 _ 15.30,Paper,Recommender systems and networks,Customized Tour Recommendations in Urban Areas,"AristidesGionis, Theodoros Lappas, Konstantinos Pelechrinis, Evimaria Terzi","The ever-increasing urbanization coupled with the unprecedented capacity to collect and process large amounts of data have helped to create the vision of intelligent urban environments. One key aspect of such environments is thatt hey allow people to effectively navigate through their city. While GPS technology and route-planning services have undoubtedly helped towards this direction, there is room for improvement in intelligent urban navigation. This vision can be fostered by the proliferation of location-based social networks, such as Foursquare or Path, which record the physical presence of users in different venues through check-ins. This information can then be used to enhance intelligent urban navigation, by generating customized path recommendations for users. In this paper, we focus on the problem of recommending customized tours in urban settings. These tours are generated so that they consider (a) the different types of venues that the user wants to visit, as well as the order in which the user wants to visit them, (b) limitations on the time to be spent or distance to be covered, and (c) the merit of visiting the included venues. We capture these requirements in a generic definition that we refer to as the TourRec problem. We then introduce two instances of the TourRec problem, study their complexity, and propose efficient algorithmic solutions. Our experiments on real data collected from Foursquare demonstrate the efficacy of our algorithms and the practical utility of the reported recommendations."
26-02-2014,16.00 _ 17.30,Paper,Networks: communities and labeling,Detecting Cohesive and 2-mode Communities in Directed and Undirected Networks,"Jaewon Yang, Julian McAuley, Jure Leskovec","Networks are a general language for representing relational information among objects. An effective way to model, reason about,and summarize networks, is to discover sets of nodes with common connectivity patterns. Such sets are commonly referred to as network communities. Research on network community detection has predominantly focused on identifying communities of densely connected nodes in undirected networks. In this paper we develop a novel overlapping community detection method that scales to networks of millions of nodes and edges and advances research along two dimensions: the connectivity structure of communities, and the use of edge directedness for community detection. First, we extend traditional definitions of network communities by building on the observation that nodes can be densely interlinked in two different ways: In cohesive communities nodes link to each other, while in 2-mode communities nodes link in a bipartite fashion, where links predominate between the two partitions rather than inside them. Our method successfully detects both 2-mode as well as cohesive communities, that may also overlap or be hierarchically nested. Second, while most existing community detection methods treat directed edges as though they were undirected, our method accounts for edge directions and is able to identify novel and meaningful community structures in both directed and undirected networks, using data from social, biological, and ecological domains."
26-02-2014,16.00 _ 17.30,Paper,Networks: communities and labeling,FENNEL: Streaming Graph Partitioning for Massive Scale Graphs,"Charalampos E. Tsourakakis, Christos Gkantsidis, Bozidar Radunovic, Milan Vojnovic","Balanced graph partitioning in the streaming setting is a key problem to enable scalable and efficient computations on massive graph data such as web graphs, knowledge graphs, and graphs arising in the context of online social networks. Two families of heuristics for graph partitioning in the streaming setting are in wide use: place the newly arrived vertex in the cluster with the largest number of neighbors or in the cluster with the least number of non-neighbors. In this work, we introduce a framework which unifies the two seemingly orthogonal heuristics and allows us to quantify the interpolation between them. More generally, the framework enables a well principled design of scalable, streaming graph partitioning algorithms that are amenable to distributed implementations. We derive a novel one-pass, streaming graph partitioning algorithm and show that it yields significant performance improvements over previous approaches using an extensive set of real-world and synthetic graphs. Surprisingly, despite the fact that our algorithm is a one-pass streaming algorithm, we found its performance to be in many cases comparable to the de-facto standard offline software METIS and in some cases even superior. For instance, for the Twitter graph with more than 1.4 billion of edges, our method partitions the graph in about 40 minutes achieving a balanced partition that cuts as few as 6.8% of edges, whereas it took more than 812 hours by METIS to produce a balanced partition that cuts 11.98% of edges. We also demonstrate the performance gains by using our graph partitioner while solving standard PageRank computation in a graph processing platform with respect to the communication cost and runtime."
26-02-2014,16.00 _ 17.30,Paper,Networks: communities and labeling,A Few Good Predictions: Selective Node Labeling in a Social Network,"Gaurish Chaudhari, Vashist Avadhanula, Sunita Sarawagi","Many social network applications face the following problem: given a network
G= (V;E) with labels on a small subset O of  V of nodes and an optional set of features on
nodes and edges, predict the labels of the remaining nodes. Much research has gone into designing learning models and
inference algorithms for accurate predictions in this setting. However, a core hurdle to any prediction effort is that for
many nodes there is insufficient evidence for inferring a label.
We propose that instead of focusing on the impossible task of providing high accuracy over all nodes, we should focus
On selectively making the few node predictions which will be correct with high probability. Any selective prediction
strategy will require that the scores attached to node predictions be well-calibrated. Our evaluations show that existing
prediction algorithms are poorly calibrated. We propose a new method of training a graphical model using a conditional likelihood objective that provides better calibration
than the existing joint likelihood objective. We augment it with a decoupled confidence model created using a novel unbiased training process. Empirical evaluation on two large
social networks show that we are able to select a large number of predictions with accuracy as high as 95%, even when the best overall accuracy is only 40%."
26-02-2014,16.00 _ 17.30,Paper,Networks: communities and labeling,Active Learning for Networked Data Based on Non-progressive Diffusion Model,"Zhilin Yang, Jie Tang, Bin Xu, Chunxiao Xing","We study the problem of active learning for networked data, where samples are connected with links and their labels are correlated with each other. We particularly focus on the setting of using the probabilistic graphical model to model the networked data, due to its effectiveness in capturing the dependency between labels of linked samples.We propose a novel idea of connecting the graphical model to the information diffusion process, and precisely define the active learning problem based on the non-progressive diffusion model. We show the NP-hardness of the problem and propose a method called MaxCo to solve it. We derive the lower bound for the optimal solution for the active learning setting, and develop an iterative greedy algorithm with provable approximation guarantees. We also theoretically prove the convergence and correctness of MaxCo.We evaluate MaxCo on four different genres of datasets: Coauthor, Slashdot, Mobile, and Enron. Our experiments show a consistent improvement over other competing approaches."
26-02-2014,16.00 _ 17.30,Paper,Networks: communities and labeling,Learning Latent Representations of Nodes for Classifying in Heterogeneous Social Networks,"Yann Jacob, Ludovic Denoyer, Patrick Gallinari","Social networks are heterogeneous systems composed of different types of nodes (e.g. users, content, groups, etc.) and relations (e.g. social or similarity relations). While learning and performing inference on homogeneous networks have motivated a large amount of research, few work exists on heterogeneous networks and there are open and challenging issues for existing methods that were previously developed for homogeneous networks. We address here the specific problem of nodes classification and tagging in heterogeneous social networks, where different types of nodes are considered, each type with its own label or tag set. We propose a new method for learning node representations onto a latent space, common to all the different node types. Inference is then performed in this latent space. In this framework, two nodes connected in the network will tend to share similar representations regardless of their types. This allows bypassing limitations of the methods based on direct extensions of homogenous frameworks and exploiting the dependencies and correlations between the different node types. The proposed method is tested on two representative datasets and compared to state-of-the-art methods and to baselines."
27-02-2014,9.00 _ 10.30,Practice and Experience Talk,Networks: centrality and influence,Graph Search: Personalized Search over a Trillion Connections,Xiao Li,"The Facebook social network service is built upon an enormous graphærepresenting over a billion users and entities, hundreds of billions ofæphotos, and a trillion connections. Graph Search is a personalized searchæengine that understands user queries expressed in natural language, seeksæanswers through the traversal of relevant graph edges, and ranks resultsæby various signals extracted from the graph. This empowers users to find,æin an aggregated manner, restaurants in New York their friends haveævisited, or stories about Nelson Mandela by South Africa residents. Inæthis talk, I describe nuts and bolts of the Graph Search system, focusingæon real world challenges and solutions in indexing, retrieval, ranking andænatural language processing."
27-02-2014,9.00 _ 10.30,Paper,Networks: centrality and influence,Prediction in a Microblog Hybrid Network Using Bonacich Potential,"Shanchan Wu, Louiqa Raschid","Microblogs such as Twitter support a rich variety of user interactions using hashtags, urls, retweets and mentions. Microblogs are an exemplar of a hybrid network; there is an explicit network of followers, as well as an implicit network of users who retweet other users, and users who mention other users. These networks are important proxies for influence. In this paper, we develop a comprehensive behavioral model of an individual user and her interactions in the hybrid network. We choose a focal user and predict those users who will be influenced by her, and will retweet and/or mention the focal user, in the near future. We define a potential function, based on a hybrid network, which reflects the likelihood of a candidate user being influenced by, and having a specific type of link to, a focal user, in the future. We show that the potential function based prediction model converges to the Bonacich centrality metric. We develop a fast unsupervised solution which approximates the future hybrid network and the future Bonacich potential.We perform an extensive evaluation over a microblog network and a stream of tweets from Twitter. Our solution outperforms several baseline methods including ones based on singular value decomposition (SVD) and a supervised Ranking SVM."
27-02-2014,9.00 _ 10.30,Paper,Networks: centrality and influence,Learning Social Network Embeddings for Predicting Information Diffusion,"Simon Bourigault, Cedric Lagnier, Sylvain Lamprier, Ludovic Denoyer, Patrick Gallinari","Analyzing and modeling the temporal diffusion of information on social media has mainly been treated as a diffusion
process on known graphs or proximity structures. The underlying phenomenon results however from the interactions
of several actors and media and is more complex than what these models can account for and cannot be explained using such limiting assumptions. We introduce here a new approach to this problem whose goal is to learn a mapping of the observed temporal dynamic onto a continuous space.
Nodes participating to diffusion cascades are projected in a latent representation space in such a way that information diffusion can be modeled efficiently using a heat diffusion process. This amounts to learning a diffusion kernel for which the proximity of nodes in the projection space
reflects the proximity of their infection time in cascades. The proposed approach possesses several unique characteristics compared to existing ones. Since its parameters are directly learned from cascade samples without requiring any additional information, it does not rely on any pre-existing
diffusion structure. Because the solution to the diffusion equation can be expressed in a closed form in the projection
space, the inference time for predicting the diffusion of a new piece of information is greatly reduced compared to discrete
models. Experiments and comparisons with baselines and alternative models have been performed on both synthetic
networks and real datasets. They show the eeffectiveness of the proposed method both in terms of prediction quality and
of inference speed."
27-02-2014,9.00 _ 10.30,Paper,Networks: centrality and influence,Modeling Opinion Dynamics in Social Networks,"Abhimanyu Das, Sreenivas Gollapudi, Kamesh Munagala","Our opinions and judgments are increasingly shaped by what we read on social media _ whether they be tweets and posts in social networks, blog posts, or review boards. These opinions could be about topics such as consumer products, politics, life style, or celebrities. Understanding how users in a network update opinions based on their neighborÍs opinions, as well as what global opinion structure is implied when users iteratively update opinions, is important in the context of viral marketing and information dissemination, as well as targeting messages to users in the network. In this paper, we consider the problem of modeling how users update opinions based on their neighborsÍ opinions. We perform a set of online user studies based on the celebrated conformity experiments of Asch [1]. Our experiments are carefully crafted to derive quantitative insights into developing a model for opinion updates (as opposed to deriving psychological insights). We show that existing and widely studied theoretical models do not explain the entire gamut of experimental observations we make. This leads us to posit a new, nuanced model that we term theBiasedVoterModel. We present preliminary theoretical and simulation results on the convergence and structure of opinions in the entire network when users iteratively update their respective opinions according to theBiasedVoterModel.We show that consensus and polarization of opinions arise naturally in this model under easy to interpret initial conditions on the network."
27-02-2014,9.00 _ 10.30,Paper,Networks: centrality and influence,Fast Approximation of Betweenness Centrality Through Sampling,"Matteo Riondato, Evgenios M. Kornaropoulos","Betweenness centrality is a fundamental measure in social network analysis, expressing the importance or influence of individual vertices in a network in terms of the fraction of shortest paths that pass through them. Exact computation in large networks is prohibitively expensive and fast approximation algorithms are required in these cases. We present two efficient randomized algorithms for betweenness estimation. The algorithms are based on random sampling of shortest paths and offer probabilistic guarantees on the quality of the approximation. The first algorithm estimates the betweenness of all vertices: all approximated values are within an additive factor epsilon from the real values, with probability at least 1-sigma.The second algorithm focuses on the top-K vertices with highest betweenness and approximate their betweenness within a multiplicative factor epsilon, with probability at least 1-sigma. This is the first algorithm that can compute such approximation for the top-K vertices. We use results from the VC-dimension theory to develop bounds to the sample size needed to achieve the desired approximations. By proving upper and lower bounds to the VC-dimension of a range set associated with the problem at hand, we obtain a sample size that is independent from the number of vertices in the network and only depends on a characteristic quantity that we call the vertex-diameter, that is the maximum number of vertices in a shortest path. In some cases, the sample size is completely independent from any property of the graph. The extensive experimental evaluation that we performed using real and artificial networks shows that our algorithms are significantly faster and much more scalable as the number of vertices in the network grows than previously presented algorithms with similar approximation guarantees."
27-02-2014,9.00 _ 10.30,Paper,Networks: centrality and influence,Effective Co-betweenness Centrality Computation,Mostafa Haghir Chehreghani,"Betweenness centrality of vertices is essential in the analysis of social and information networks, and co-betweenness centrality is one of two natural ways to extend it to sets of vertices. Existing algorithms for co-betweenness centrality computation suffer from at least one of the following problems: i) their applicability is limited to special cases like sequences, sets of size two, and ii) they are not efficient in terms of time complexity. In this paper, we present efficient algorithms for co-betweenness centrality computation of any set or sequence of vertices in weighted and unweighted networks. We also develop effective methods for co-betweenness centrality computation of sets and sequences of edges. Results of this paper, provide a clear and extensive view about the complexity of co-betweenness centrality computation for vertices and edges in weighted and unweighted networks. Finally, we perform extensive experiments on real-world networks from different domains including social and information, to show the empirical efficiency of the proposed method."
27-02-2014,11.00 _ 12.30,Paper,Natural language processing; topic models,Chinese-English Mixed Text Normalization,"Qi Zhang, Huan Chen, Xuanjing Huang","Along with the expansion of globalization, multilingualism has become a popular social phenomenon. More than one languag emay occur in the context of a single conversation. This phenomenon is also prevalent in China. A huge variety of informal Chinese texts contain English words, especially in emails, social media, and other user generated informal contents. Since most of the existing natural language processing algorithms were designed for processing monolingual information, mixed multilingual texts cannot be well analyzed by them. Hence, it is of critical importance to preprocess the mixed texts before applying other tasks. In this paper, we firstly analyze the phenomena of mixed usage of Chinese and English in Chinese microblogs. Then, we detail the proposed two-stage method for normalizing mixed texts. We propose to use a noisy channel approach to translate in-vocabulary words into Chinese. For better incorporating the historical information of users, we introduce a novel user aware neural network language model. For the out-of-vocabulary words (such as pronunciations, informal expressions and etc.), we propose to use a graph-based unsupervised method to categorize them. Experimental results on a manually annotated microblog dataset demonstrate the effectiveness of the proposed method. We also evaluate three natural language parsers with and without using the proposed method as the preprocessing step. From the results, we can see that the proposed method can significantly benefit other NLP tasks in processing mixed text."
27-02-2014,11.00 _ 12.30,Paper,Natural language processing; topic models,Sentiment Analysis on Evolving Social Streams: How Self-Report Imbalances Can Help,"Pedro Calais Guerra, Wagner Meira Jr., Claire Cardie","Real-time sentiment analysis is a challenging machine learning task, due to scarcity of labeled data and sudden changes in sentiment caused by real-world events that need to be instantly interpreted. In this paper we propose solutions to acquire labels and cope with concept drift in this setting, by using findings from social psychology on how humans prefer to disclose some types of emotions. In particular, we use findings that humans are more motivated to report positive feelings rather than negative feelings and also prefer to report extreme feelings rather than average feelings. We map each of these self-report imbalances on two machine learning sub-tasks. The preference on the disclosure of positive feelings can be explored to generate labeled data on polarizing topics, where a positive event for one group usually induces negative feelings from the opposing group, generating an imbalance on user activity that unveils the current dominant sentiment. Based on the knowledge that extreme experiences are more reported than average experiences, we propose a feature representation strategy that focus on terms which appear at spikes in the social stream. When comparing to a static text representation (TF-IDF),we found that our feature representation is more capable of detecting new informative features that capture the sudden changes on sentiment stream caused by real-world events. We show that our social psychology-inspired framework produces accuracies up to 84% while analyzing live reactions in the debate of two popular sports on Twitter _ soccer and football _ despite requiring no human effort in generating supervisory labels."
27-02-2014,11.00 _ 12.30,Paper,Natural language processing; topic models,"Entity Linking at the Tail: Sparse Signals, Unknown Entities, and Phrase Models","Yuzhe Jin, Emre K›c›man, Kuansan Wang, Ricky Loynd","Web search is seeing a paradigm shift from keyword based search to an entity-centric organization of web data. To support web search with this deeper level of understanding, a web-scale entity linking system must have 3 key properties: First, its feature extractio nmust be robust to the diversity of web documents and their varied writing styles and content structures. Second, it must maintain high-precision linking for ñtailî (unpopular) entities that is robust to the existence of confounding entities outside of the knowledge base and entity profiles with minimal information. Finally, the system must represent large-scale knowledge bases with a scalable and powerful feature representation. We have built and deployed a web-scale unsupervised entity linking system for a commercial search engine that addresses these requirements by combining new developments in sparse signal recovery to identify the most discriminative features from noisy, free-text web documents; explicit modeling of out-of-knowledge-base entities to improve precision at the tail; and the development of a new phrase-unigram languag emodel to efficiently capture high-order dependencies in lexical features. Using a knowledge base of 100M unique people from a popular social networking site, we present experimental results in the challenging domain of people-linking at the tail, where most entities have limited web presence. Our experimental results show that this system substantially improves on the precision-recall tradeoff over baseline methods, achieving precision over 95% with recall over 60%."
27-02-2014,11.00 _ 12.30,Paper,Natural language processing; topic models,Latent Dirichlet Allocation based Diversified Retrieval for E-commerce Search,"Jun Yu, Sunil Mohan, Duangmanee (Pew)
Putthividhya, Weng-Keen Wong","Diversified retrieval is a very important problem on many e-commerce sites, e.g. eBay and Amazon. Using IR approaches without optimizing for diversity results in a clutter of redundant items that belong to the same products. Most existing product taxonomies are often too noisy, with overlapping structures and non-uniform granularity, to be used directly in diversified retrieval. To address this problem, we propose a Latent Dirichlet Allocation (LDA) based diversified retrieval approach that selects diverse items based on the hidden user intents. Our approach first discovers the hidden user intents of a query using the LDA model, and then ranks the user intents by making trade-offs between their relevance and information novelty. Finally, it chooses the most representative item for each user intent to display. To evaluate the diversity in the search results on e-commerce sites, we propose a new metric, average satisfaction, measuring user satisfaction with the search results. Through our empirical study on eBay, we show that the LDA model discovers meaningful user intents and the LDA-based approach provides significantly higher user satisfaction than the eBay production ranker and three other diversified retrieval approaches."
27-02-2014,11.00 _ 12.30,Paper,Natural language processing; topic models,Supervised N-gram Topic Model,Noriaki Kawamae,"We propose a Bayesian nonparametric topic model that rep-resents relationships between given labels and the corrsponding words/phrases, as found in supervised articles. Unlike existing supervised topic models, our proposal, supervised N-gram topic model (SNT), focuses on both the number of topics and power-law distribution in the word frequencies for topic-specic N-grams. To achieve this goal, SNT takes a Bayesian nonparametric approach to topic sampling; it assigns a topic to each token using Chinese restaurant process (CRP), and generates a word distribution jointly with the given variable in textual order, and then forms each N-gram word as a hierarchy of Pitman-Yor process (PYP) priors. CRP can help SNT to automatically estimate the appropriate number of topics, which impacts the quality of topic specific words, N-grams, and observed value distribution. Since PYP recovers the exact formulation of interpolated Kneser-Ney, one of the best smoothing approaches for N-gram language models, it can allow SNT to generate more interpretableN-grams than the alternatives. Experiments on labeled text data show that SNT is useful as a generative model for discovering more phrases that better complement human experts than existing alternatives and provide more domain specific knowledge. The results show that SNT can be applied to various tasks such as automatic annotation."
27-02-2014,11.00 _ 12.30,Paper,Natural language processing; topic models,Going beyond Corr-LDA for Detecting Specific Comments on News & Blogs,"Mrinal Das, Trapit Bansal, Chiranjib Bhattacharyya","Understanding user generated comments in response to news and blog posts is an important area of research. After ignoring irrelevant comments, one finds that a large fraction, approximately 50%, of the comments are very specific and can be further related to certain parts of the article instead of the entire story. For example, in a recent product review of Google Nexus 7in ArsTechnica (a popular blog), the reviewer talks about the prospect of ñRetina equipped iPad miniî in a few sentences. It is interesting that although the article is onNexus 7, but a significant number of comments are focused on this specific point regarding ñiPadî. We pose the problem of detecting such comments as specific comments location (SCL) problem. SCL is an important open problem with no prior work. SCL can be posed as a correspondence problem between comments and the parts of the relevant article, and one could potentially use Corr-LDA type models. Unfortunately, such models do not give satisfactory performance as they are restricted to using a single topic vector per article-comments pair. In this paper we propose to go beyond the single topic vector assumption and propose a novel correspondence topic model, namely SCTM, which admits multiple topic vectors (MTV) per article-comments pair. The resulting inference problem is quite complicated because of MTV and has no off-the-shelf solution. One of the major contributions of this paper is to show that using stick-breaking process as a prior over MTV, one can derive a collapsed Gibbs sampling procedure, which empirically works well for SCL. SCTM is rigorously evaluated on three datasets, crawled fromYahoo! News (138,000 comments) and two blogs, ArsTechnica (AT) Science (90,000 comments) and AT-Gadget (160,000 comments). We observe that SCTM performs better than Corr-LDA, not only in terms of metrics like perplexity and topic coherence but also discovers more unique topics. We see that this immediately leads to an order of magnitude improvement in F1 score over Corr-LDA for SCL."
